	TIER_1_TAGS	TIER_3_TAGS	TIER_4_TAGS	FRANCHISE	SKILL_1	SKILL_2	SKILL_3	SKILL_4	SKILL_5	PRIME_BADGE	PATCH_TALENT_1	PATCH_TALENT_2	PATCH_TALENT_3	PATCH_TALENT_4	PATCH_TALENT_5
SADNESS	TANK_ROLE,YELLOW_TEAM,INSIDE_OUT,DODGE,ARMOR_INCREASE,REALITY_INCREASE,FATIGUE,SILENCE,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,MAX_HP_INCREASE	SKILL_POWER_INCREASE,REALITY_INCREASE,HEAL_OVER_TIME_SELF	REDUCED_DAMAGE_DEALT,ARMOR_INCREASE,REALITY_INCREASE,INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	INSIDE_OUT	DODGE,ARMOR_INCREASE,REALITY_INCREASE,FATIGUE,SILENCE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	FANTASTIC_DAMAGE,SILENCE	ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	ARMOR_INCREASE,REALITY_INCREASE,MAX_HP_INCREASE	SKILL_POWER_INCREASE,REALITY_INCREASE,HEAL_OVER_TIME_SELF	REDUCED_DAMAGE_DEALT	ARMOR_INCREASE	REALITY_INCREASE	INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
SALLY	TANK_ROLE,YELLOW_TEAM,THE_NIGHTMARE_BEFORE_CHRISTMAS,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,REVIVE_SELF,MAX_HP_INCREASE,REDUCED_DAMAGE_TAKEN,DAMAGE_INCREASE,REALITY_INCREASE,ARMOR_INCREASE	MAX_HP_INCREASE,BERSERK	IMMUNITY,HEAL_SELF,HEAL_TEAM,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,CURSE,TRUE_DAMAGE	THE_NIGHTMARE_BEFORE_CHRISTMAS	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	REVIVE_SELF,DAMAGE_OVER_TIME	MAX_HP_INCREASE	FANTASTIC_DAMAGE,REDUCED_DAMAGE_TAKEN,DAMAGE_OVER_TIME,DAMAGE_INCREASE,MAX_HP_INCREASE,REALITY_INCREASE,ARMOR_INCREASE	MAX_HP_INCREASE,BERSERK	IMMUNITY	HEAL_SELF	HEAL_TEAM	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	CURSE,TRUE_DAMAGE
SARAH_SANDERSON	CONTROL_ROLE,YELLOW_TEAM,HOCUS_POCUS,FANTASTIC_DAMAGE,DISTRACT,HEAL_SELF,SCARE,REDUCED_DAMAGE_DEALT,ATTACK_SPEED_INCREASE,REDUCED_DAMAGE_TAKEN,SAP,SILENCE,CURSE,HEAL_OVER_TIME_SELF,SKILL_POWER_INCREASE,MAX_HP_INCREASE	INVINCIBLE,DAMAGE_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,REDUCED_DAMAGE_DEALT,REMOVE_BUFF,FATIGUE,SHATTER,PIERCE	HOCUS_POCUS	FANTASTIC_DAMAGE,DISTRACT,HEAL_SELF	FANTASTIC_DAMAGE,SCARE,REDUCED_DAMAGE_DEALT	ATTACK_SPEED_INCREASE,HEAL_SELF	REDUCED_DAMAGE_TAKEN	FANTASTIC_DAMAGE,SAP,SCARE,SILENCE,CURSE,HEAL_OVER_TIME_SELF,SKILL_POWER_INCREASE,MAX_HP_INCREASE	INVINCIBLE,DAMAGE_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	REDUCED_DAMAGE_DEALT	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	REMOVE_BUFF,SHATTER,PIERCE
SCAR	DPS_ROLE,RED_TEAM,THE_LION_KING,NORMAL_DAMAGE,SILENCE,INVISIBLE,HEAL_SELF,STUN,SKILL_POWER_INCREASE,DAMAGE_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,MAX_HP_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,SILENCE,INCREASED_DAMAGE_DEALT,SAP,CURSE	THE_LION_KING	NORMAL_DAMAGE,SILENCE	NORMAL_DAMAGE	INVISIBLE	HEAL_SELF	STUN,NORMAL_DAMAGE,SKILL_POWER_INCREASE,DAMAGE_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,MAX_HP_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	SILENCE	INCREASED_DAMAGE_DEALT	SAP,CURSE,INCREASED_DAMAGE_DEALT	
SCAT_CAT	DPS_ROLE,RED_TEAM,THE_ARISTOCATS,FANTASTIC_DAMAGE,SHATTER,SILENCE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,DAMAGE_OVER_TIME,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,MOST_WANTED,STUN,SKILL_POWER_INCREASE,MOMENTUM,INCREASED_DAMAGE_DEALT	CRIT_DAMAGE_INCREASE,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,IMMUNITY,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,DAMAGE_OVER_TIME	THE_ARISTOCATS	FANTASTIC_DAMAGE,SHATTER,SILENCE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	FANTASTIC_DAMAGE,MOST_WANTED,STUN	SKILL_POWER_INCREASE,MOMENTUM	FANTASTIC_DAMAGE,INCREASED_DAMAGE_DEALT	CRIT_DAMAGE_INCREASE,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	IMMUNITY	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	
SCROOGE_MCDUCK	DPS_ROLE,RED_TEAM,DUCKTALES,FANTASTIC_DAMAGE,KNOCKBACK,HEAL_SELF,ATTACK_SPEED_INCREASE,MAX_HP_INCREASE,SKILL_POWER_INCREASE	ARMOR_INCREASE,REALITY_INCREASE,INVISIBLE	IMMUNITY,REALITY_DECREASE,INCREASED_DAMAGE_DEALT,REMOVE_BUFF,SHATTER,PIERCE,INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	DUCKTALES	FANTASTIC_DAMAGE	FANTASTIC_DAMAGE,KNOCKBACK	FANTASTIC_DAMAGE	HEAL_SELF	ATTACK_SPEED_INCREASE,MAX_HP_INCREASE,SKILL_POWER_INCREASE,FANTASTIC_DAMAGE	ARMOR_INCREASE,REALITY_INCREASE,INVISIBLE	IMMUNITY	REALITY_DECREASE	INCREASED_DAMAGE_DEALT	REMOVE_BUFF,SHATTER,PIERCE	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE
SHAN_YU	DPS_ROLE,YELLOW_TEAM,MULAN,NORMAL_DAMAGE,ENERGY_SELF,STUDY,STUN,TENACITY_INCREASE,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,ARMOR_INCREASE	ARMOR_INCREASE,CRIT_DAMAGE_INCREASE	IMMUNITY,ARMOR_DECREASE,INCREASED_DAMAGE_DEALT,CLEANSE,BERSERK,HEAL_SELF,REMOVE_BUFF,SHATTER,PIERCE	MULAN	NORMAL_DAMAGE,ENERGY_SELF	NORMAL_DAMAGE,STUDY	NORMAL_DAMAGE,STUN	TENACITY_INCREASE,DAMAGE_INCREASE	NORMAL_DAMAGE,ATTACK_SPEED_INCREASE,DAMAGE_OVER_TIME,DAMAGE_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE	ARMOR_INCREASE,CRIT_DAMAGE_INCREASE	IMMUNITY	ARMOR_DECREASE	INCREASED_DAMAGE_DEALT	CLEANSE,BERSERK,HEAL_SELF	REMOVE_BUFF,SHATTER,PIERCE
SHANK	TANK_ROLE,BLUE_TEAM,WRECK_IT_RALPH,NORMAL_DAMAGE,REDUCED_DAMAGE_TAKEN,SKILL_POWER_INCREASE,ARMOR_INCREASE,DISTRACT,HEAL_SELF,MAX_HP_INCREASE	ARMOR_INCREASE,MAX_HP_INCREASE,NORMAL_CRIT_INCREASE	ARMOR_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,HEAL_TEAM,REFLECT,HEAL_SELF,IMMUNITY,REMOVE_BUFF	WRECK_IT_RALPH	NORMAL_DAMAGE,REDUCED_DAMAGE_TAKEN	SKILL_POWER_INCREASE,ARMOR_INCREASE,DISTRACT	NORMAL_DAMAGE,HEAL_SELF	ARMOR_INCREASE,REDUCED_DAMAGE_TAKEN	REDUCED_DAMAGE_TAKEN,ARMOR_INCREASE,MAX_HP_INCREASE,NORMAL_DAMAGE	ARMOR_INCREASE,MAX_HP_INCREASE,NORMAL_CRIT_INCREASE	ARMOR_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	HEAL_TEAM	REFLECT,HEAL_SELF	IMMUNITY,REMOVE_BUFF
SHEGO	DPS_ROLE,BLUE_TEAM,KIM_POSSIBLE,FANTASTIC_DAMAGE,SHATTER,ATTACK_SPEED_INCREASE,HEAL_SELF,SHIELD_SELF,MAX_HP_INCREASE,SKILL_POWER_INCREASE,CRIT_DAMAGE_INCREASE	ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,SHIELD_TEAM,SHIELD_SELF,IMMUNITY	KIM_POSSIBLE	FANTASTIC_DAMAGE	FANTASTIC_DAMAGE,SHATTER	ATTACK_SPEED_INCREASE,HEAL_SELF	SHATTER	SHIELD_SELF,MAX_HP_INCREASE,SKILL_POWER_INCREASE,CRIT_DAMAGE_INCREASE,FANTASTIC_DAMAGE	ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	SHIELD_TEAM		SHIELD_SELF,IMMUNITY
SHERE_KHAN	DPS_ROLE,BLUE_TEAM,THE_JUNGLE_BOOK,TRUE_DAMAGE,CORRUPTION,CURSE,FANTASTIC_DAMAGE,INVISIBLE,SCARE,DAMAGE_OVER_TIME,DISTRACT,CLEANSE,HARDY,HEAL_SELF,HEAL_TEAM,INCREASED_DAMAGE_DEALT,REDUCED_DAMAGE_TAKEN,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,HEAL_OVER_TIME_SELF,ENERGY_SELF,REALITY_INCREASE,ARMOR_INCREASE	BERSERK,DAMAGE_INCREASE,SKILL_POWER_INCREASE	CURSE,INCREASED_DAMAGE_DEALT,SAP,INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	THE_JUNGLE_BOOK	TRUE_DAMAGE,CORRUPTION,CURSE	FANTASTIC_DAMAGE,INVISIBLE,SCARE,DAMAGE_OVER_TIME,DISTRACT	TRUE_DAMAGE,CLEANSE,HARDY,CORRUPTION,CURSE,HEAL_SELF,HEAL_TEAM	CLEANSE,HEAL_SELF,INVISIBLE	FANTASTIC_DAMAGE,TRUE_DAMAGE,CORRUPTION,INCREASED_DAMAGE_DEALT,REDUCED_DAMAGE_TAKEN,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,HEAL_OVER_TIME_SELF,ENERGY_SELF,REALITY_INCREASE,ARMOR_INCREASE	BERSERK,DAMAGE_INCREASE,SKILL_POWER_INCREASE	CURSE	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	SAP,CURSE,INCREASED_DAMAGE_DEALT	INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE
SHERIFF_OF_NOTTINGHAM	TANK_ROLE,YELLOW_TEAM,ROBIN_HOOD,ATTACK_SPEED_INCREASE,DAMAGE_DECREASE,DAMAGE_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,SAP,NORMAL_DAMAGE,KNOCKBACK,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,REDUCED_DAMAGE_DEALT,CURSE,MAX_HP_INCREASE	HEAL_SELF,MAX_HP_INCREASE,DAMAGE_INCREASE	CURSE,INVISIBLE,SAP,TRUE_DAMAGE,INCREASED_DAMAGE_DEALT	ROBIN_HOOD	ATTACK_SPEED_INCREASE,DAMAGE_DECREASE,DAMAGE_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	ARMOR_INCREASE,SAP	NORMAL_DAMAGE,KNOCKBACK,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,SAP	REDUCED_DAMAGE_DEALT	ARMOR_INCREASE,CURSE,DAMAGE_INCREASE,MAX_HP_INCREASE,REALITY_INCREASE	HEAL_SELF,MAX_HP_INCREASE,DAMAGE_INCREASE	CURSE	INVISIBLE	SAP	CURSE,TRUE_DAMAGE	SAP,CURSE,INCREASED_DAMAGE_DEALT
SIMBA_AND_NALA	DPS_ROLE,RED_TEAM,THE_LION_KING,FANTASTIC_DAMAGE,ATTACK_SPEED_INCREASE,ARMOR_DECREASE,ATTACK_SPEED_DECREASE,CHARM,DAMAGE_INCREASE,ENERGY_REMOVAL,ENERGY_SELF,NORMAL_DAMAGE,HEAL_SELF,SILENCE,HEAL_TEAM,MAX_HP_INCREASE	DAMAGE_INCREASE,MAX_HP_INCREASE,EVASION_INCREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,IMMUNITY,CHARM	THE_LION_KING	FANTASTIC_DAMAGE,ATTACK_SPEED_INCREASE	FANTASTIC_DAMAGE,ARMOR_DECREASE,ATTACK_SPEED_DECREASE	CHARM,DAMAGE_INCREASE,ENERGY_REMOVAL,ENERGY_SELF	NORMAL_DAMAGE,ARMOR_DECREASE,HEAL_SELF,SILENCE	HEAL_TEAM,ARMOR_DECREASE,ATTACK_SPEED_DECREASE,CHARM,SILENCE,DAMAGE_INCREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE	DAMAGE_INCREASE,MAX_HP_INCREASE,EVASION_INCREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	IMMUNITY	CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	
SIMEA	SUPPORT_ROLE,YELLOW_TEAM,MOANA,TRUE_DAMAGE,EVASION_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,SHIELD_TEAM,HEAL_OVER_TIME_TEAM,CLEANSE,MAX_HP_INCREASE,IMMUNITY,REDUCED_DAMAGE_TAKEN	REFLECT,MAX_HP_INCREASE	PRECISE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,IMMUNITY,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF,HARDY,REDUCED_DAMAGE_TAKEN	MOANA	TRUE_DAMAGE,EVASION_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	SHIELD_TEAM	HEAL_OVER_TIME_TEAM	CLEANSE,MAX_HP_INCREASE	IMMUNITY,REDUCED_DAMAGE_TAKEN,MAX_HP_INCREASE	REFLECT,MAX_HP_INCREASE	PRECISE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	IMMUNITY,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF	HARDY,REDUCED_DAMAGE_TAKEN
SISU	SUPPORT_ROLE,RED_TEAM,RAYA_AND_THE_LAST_DRAGON,HEAL_SELF,HEAL_TEAM,SHIELD_SELF,SHIELD_TEAM,NORMAL_DAMAGE,KNOCKBACK,DAMAGE_DECREASE,DAMAGE_INCREASE,FANTASTIC_DAMAGE,BLIND,SKILL_POWER_DECREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE,MAX_HP_INCREASE	SHIELD_SELF,SHIELD_TEAM,DAMAGE_INCREASE,SKILL_POWER_INCREASE	HEAL_TEAM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,SHIELD_TEAM,REMOVE_BUFF,SHIELD_SELF,IMMUNITY	RAYA_AND_THE_LAST_DRAGON	HEAL_SELF,HEAL_TEAM,SHIELD_SELF,SHIELD_TEAM	NORMAL_DAMAGE,KNOCKBACK,DAMAGE_DECREASE,DAMAGE_INCREASE	FANTASTIC_DAMAGE,BLIND,SKILL_POWER_DECREASE,SKILL_POWER_INCREASE	ATTACK_SPEED_INCREASE	SHIELD_SELF,SHIELD_TEAM,DAMAGE_DECREASE,SKILL_POWER_DECREASE,MAX_HP_INCREASE,HEAL_SELF,HEAL_TEAM	SHIELD_SELF,SHIELD_TEAM,DAMAGE_INCREASE,SKILL_POWER_INCREASE	HEAL_TEAM	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	SHIELD_TEAM	REMOVE_BUFF	SHIELD_SELF,IMMUNITY
SLINKY_DOG	TANK_ROLE,BLUE_TEAM,TOY_STORY,SHIELD_SELF,SHIELD_TEAM,FANTASTIC_DAMAGE,SKILL_POWER_DECREASE,REALITY_INCREASE,ARMOR_INCREASE,REALITY_DECREASE,SKILL_POWER_INCREASE	REALITY_INCREASE,SKILL_POWER_INCREASE,ENERGY_SELF	IMMUNITY,ARMOR_INCREASE,REALITY_INCREASE,SHIELD_SELF,REMOVE_BUFF	TOY_STORY	SHIELD_SELF,SHIELD_TEAM	FANTASTIC_DAMAGE,SKILL_POWER_DECREASE	SHIELD_TEAM,REALITY_INCREASE,ARMOR_INCREASE	ARMOR_INCREASE,REALITY_INCREASE	REALITY_DECREASE,REALITY_INCREASE,SHIELD_SELF,SHIELD_TEAM,SKILL_POWER_INCREASE	REALITY_INCREASE,SKILL_POWER_INCREASE,ENERGY_SELF	IMMUNITY	ARMOR_INCREASE	REALITY_INCREASE	SHIELD_SELF,IMMUNITY	IMMUNITY,REMOVE_BUFF
SNOW_WHITE	CONTROL_ROLE,BLUE_TEAM,SNOW_WHITE_AND_THE_SEVEN_DWARFS,PRINCESS,FANTASTIC_DAMAGE,HEAL_SELF,HEAL_TEAM,KNOCKBACK,BLIND,NORMAL_DAMAGE,REDUCED_DAMAGE_DEALT,CLEANSE,CHARM,IMMUNITY,SKILL_POWER_INCREASE,MAX_HP_INCREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,PRECISE,HARDY,REDUCED_DAMAGE_TAKEN,CHARM	SNOW_WHITE_AND_THE_SEVEN_DWARFS,PRINCESS	FANTASTIC_DAMAGE,HEAL_SELF,HEAL_TEAM,KNOCKBACK,BLIND	FANTASTIC_DAMAGE,KNOCKBACK,BLIND	NORMAL_DAMAGE,BLIND	FANTASTIC_DAMAGE,REDUCED_DAMAGE_DEALT	FANTASTIC_DAMAGE,CLEANSE,CHARM,IMMUNITY,SKILL_POWER_INCREASE,MAX_HP_INCREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	PRECISE	HARDY,REDUCED_DAMAGE_TAKEN	CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE
STATLER_AND_WALDORF	CONTROL_ROLE,BLUE_TEAM,MUPPETS,INVINCIBLE,HEAL_OVER_TIME_SELF,ARMOR_INCREASE,REALITY_INCREASE,HARDY,WEAKNESS,NORMAL_DAMAGE,STUDY,SILENCE,ARMOR_DECREASE,REALITY_DECREASE,CURSE,FANTASTIC_DAMAGE,SKILL_POWER_INCREASE,TENACITY_INCREASE,EVASION_INCREASE,TENACITY_DECREASE,EVASION_DECREASE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,TENACITY_INCREASE	CURSE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,HEAL_TEAM,TRUE_DAMAGE,STUN,IMMUNITY,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF	MUPPETS	INVINCIBLE,HEAL_OVER_TIME_SELF,ARMOR_INCREASE,REALITY_INCREASE,HARDY,WEAKNESS	NORMAL_DAMAGE,STUDY,SILENCE	ARMOR_DECREASE,REALITY_DECREASE,CURSE	FANTASTIC_DAMAGE,SKILL_POWER_INCREASE	TENACITY_INCREASE,EVASION_INCREASE,TENACITY_DECREASE,EVASION_DECREASE,WEAKNESS	MAX_HP_INCREASE,SKILL_POWER_INCREASE,TENACITY_INCREASE	CURSE	DAMAGE_DECREASE,SKILL_POWER_DECREASE	HEAL_TEAM	TRUE_DAMAGE,STUN	IMMUNITY,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF
STITCH	DPS_ROLE,BLUE_TEAM,LILO_AND_STITCH,NORMAL_DAMAGE,FANTASTIC_DAMAGE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,STUDY,TRUE_DAMAGE,STUN,HEAL_SELF,ARMOR_DECREASE,ENERGY_SELF,REMOVE_BUFF,DAMAGE_INCREASE,SKILL_POWER_INCREASE	SKILL_POWER_INCREASE,DAMAGE_INCREASE,ENERGY_SELF	HEAL_SELF,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,INVISIBLE,CLEANSE,BERSERK,INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	LILO_AND_STITCH	NORMAL_DAMAGE	FANTASTIC_DAMAGE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,STUDY	TRUE_DAMAGE,STUN,HEAL_SELF,ARMOR_DECREASE	ENERGY_SELF	ARMOR_DECREASE,REMOVE_BUFF,DAMAGE_INCREASE,SKILL_POWER_INCREASE,NORMAL_DAMAGE	SKILL_POWER_INCREASE,DAMAGE_INCREASE,ENERGY_SELF	HEAL_SELF	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	INVISIBLE	CLEANSE,BERSERK,HEAL_SELF	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE
SUGA_MAMA	CONTROL_ROLE,BLUE_TEAM,THE_PROUD_FAMILY,CLEANSE,IMMUNITY,SKILL_POWER_INCREASE,INCREASED_DAMAGE_DEALT,FANTASTIC_DAMAGE,INCREASED_DAMAGE_TAKEN,CORRUPTION,NORMAL_DAMAGE,WEAKNESS,ARMOR_INCREASE,REALITY_INCREASE,VULNERABLE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,CRIT_DAMAGE_DECREASE,MAX_HP_INCREASE	ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,MAX_HP_INCREASE	WEAKNESS,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,REDUCED_DAMAGE_DEALT,CURSE,TRUE_DAMAGE,REFLECT,HEAL_SELF	THE_PROUD_FAMILY	CLEANSE,IMMUNITY,SKILL_POWER_INCREASE,INCREASED_DAMAGE_DEALT	FANTASTIC_DAMAGE,INCREASED_DAMAGE_TAKEN,CORRUPTION	NORMAL_DAMAGE,INCREASED_DAMAGE_TAKEN,WEAKNESS	ARMOR_INCREASE,REALITY_INCREASE	VULNERABLE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,CRIT_DAMAGE_DECREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,MAX_HP_INCREASE	WEAKNESS	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	REDUCED_DAMAGE_DEALT	CURSE,TRUE_DAMAGE	REFLECT,HEAL_SELF
SULLEY	TANK_ROLE,YELLOW_TEAM,MONSTERS_INC,FANTASTIC_DAMAGE,SCARE,HEAL_SELF,SKILL_POWER_INCREASE,ARMOR_INCREASE,HARDY,SHIELD_SELF,SHIELD_TEAM,MAX_HP_INCREASE,REALITY_INCREASE	ARMOR_INCREASE,MAX_HP_INCREASE,INVINCIBLE	SHIELD_TEAM,HEAL_TEAM,DAMAGE_INCREASE,SKILL_POWER_INCREASE,SHIELD_SELF,IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF	MONSTERS_INC	FANTASTIC_DAMAGE,SCARE	HEAL_SELF	FANTASTIC_DAMAGE	SKILL_POWER_INCREASE,ARMOR_INCREASE	HARDY,SHIELD_SELF,SHIELD_TEAM,MAX_HP_INCREASE,REALITY_INCREASE,HEAL_SELF	ARMOR_INCREASE,MAX_HP_INCREASE,INVINCIBLE	SHIELD_TEAM	HEAL_TEAM	DAMAGE_INCREASE,SKILL_POWER_INCREASE	SHIELD_SELF,IMMUNITY	IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF
SWEDISH_CHEF	TANK_ROLE,BLUE_TEAM,MUPPETS,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,FATIGUE,REDUCED_DAMAGE_TAKEN,HEAL_SELF,COPY_BUFF,REDUCED_DAMAGE_DEALT,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE,CRIT_DAMAGE_INCREASE	HEAL_TEAM,PRECISE,TENACITY_DECREASE,EVASION_DECREASE,IMMUNITY,REMOVE_BUFF,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	MUPPETS	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,FATIGUE	FANTASTIC_DAMAGE,REDUCED_DAMAGE_TAKEN,DAMAGE_OVER_TIME,FATIGUE	HEAL_SELF,COPY_BUFF	REDUCED_DAMAGE_DEALT	REDUCED_DAMAGE_DEALT,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE,CRIT_DAMAGE_INCREASE	HEAL_TEAM	PRECISE	TENACITY_DECREASE,EVASION_DECREASE	IMMUNITY,REMOVE_BUFF	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
